,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,4753,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,497,2015-10-22 15:11:32,2016-06-17 19:56:49,AZ,AZ
1,112,2014-04-09 17:53:34,2014-06-14 00:29:18,AZ,AZ
2,214,2016-06-19 02:57:09,2016-10-12 22:50:42,AZ,AZ
3,3116,2015-09-14 05:24:23,2018-11-14 14:33:12,NV,NV
4,637,2014-11-29 05:16:02,2015-09-13 00:30:41,NV,TX
5,262,2015-02-14 05:53:56,2015-06-24 15:25:45,AZ,AZ
6,1700,2016-10-13 17:33:39,2018-11-14 13:59:09,AZ,AZ
7,314,2014-04-23 19:26:56,2014-10-06 04:01:36,NV,NV
8,216,2015-06-25 18:56:06,2015-10-21 19:22:39,AZ,AZ
9,99,2014-12-08 01:49:44,2015-02-08 02:20:19,AZ,AZ
10,63,2014-10-09 08:43:30,2014-11-16 16:19:36,NV,NV
11,60,2014-03-08 00:00:39,2014-04-12 21:03:13,NV,NV
12,86,2013-12-19 20:02:11,2014-02-10 03:54:59,NV,NV
13,50,2014-03-04 13:25:13,2014-04-04 16:28:14,AZ,AZ
14,45,2013-04-27 21:13:47,2013-05-25 16:32:49,NV,NV
