,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,10529,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,272,2018-04-29 23:26:01,2018-07-15 15:28:47,NV,NV
1,195,2017-12-13 06:06:24,2018-02-11 05:01:41,NV,NV
2,211,2017-04-02 14:10:34,2017-06-07 00:34:19,NV,NV
3,130,2017-06-07 05:31:28,2017-07-18 16:31:55,NV,NV
4,147,2018-07-16 04:38:12,2018-09-02 00:06:24,NV,NV
5,160,2018-03-25 16:00:05,2018-05-15 02:32:47,AZ,AZ
6,117,2016-12-18 22:39:15,2017-01-26 04:49:54,NV,NV
7,198,2018-02-23 00:10:03,2018-04-24 21:59:51,NV,NV
8,141,2017-02-07 04:28:25,2017-03-24 03:09:53,NV,NV
9,91,2017-10-08 23:01:08,2017-11-05 21:25:50,NV,NV
10,33,2018-02-12 09:10:10,2018-02-21 12:26:59,NV,NV
