,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,3606,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,3003,2014-11-24 14:49:49,2018-11-14 13:59:09,AZ,AZ
1,423,2013-12-11 21:46:45,2014-10-26 19:20:09,AZ,AZ
2,4442,2013-09-07 06:18:37,2018-11-14 14:33:12,NV,TX
3,38,2013-01-06 02:05:13,2013-02-13 04:12:11,AZ,AZ
4,52,2011-12-11 12:21:13,2012-02-01 23:55:24,NV,NV
5,321,2012-12-04 02:08:50,2013-09-03 19:24:28,NV,TX
6,109,2013-03-04 17:14:24,2013-06-25 15:23:02,AZ,AZ
7,59,2012-06-21 18:37:31,2012-08-21 17:07:35,NV,NV
8,35,2012-09-03 21:58:16,2012-10-07 04:16:56,NV,NV
9,35,2012-02-06 07:07:27,2012-03-11 21:48:01,NV,NV
10,27,2018-03-18 22:35:54,2018-04-15 02:19:09,NC,SC
11,28,2011-06-23 21:05:12,2011-07-21 21:46:38,NV,NV
12,19,2013-06-26 19:15:56,2013-07-14 21:20:37,AZ,AZ
13,27,2012-03-27 18:57:24,2012-04-23 20:22:56,AZ,AZ
