,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,1161,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,3786,2012-09-24 22:23:30,2018-11-14 13:59:09,AZ,AZ
1,155,2011-12-13 16:40:52,2012-09-17 18:19:14,AZ,AZ
2,5264,2010-10-14 02:33:04,2018-11-14 14:33:12,NV,TX
3,30,2017-08-21 22:21:12,2017-10-22 15:42:13,NC,SC
4,31,2018-01-08 18:41:33,2018-03-31 23:28:02,PA,PA
5,20,2009-01-26 23:58:26,2009-03-30 22:37:37,NV,TX
6,191,2017-11-05 21:56:45,2018-09-23 17:46:04,NC,SC
7,14,2015-02-14 05:32:46,2015-03-28 20:56:12,WI,WI
8,159,2010-12-29 18:33:05,2011-12-03 22:15:46,AZ,AZ
9,29,2015-01-13 17:43:39,2015-03-16 18:41:19,NC,SC
10,10,2014-06-16 16:02:01,2014-07-10 22:21:47,OH,OH
11,136,2015-12-09 06:44:45,2016-10-24 02:56:21,NC,SC
12,21,2017-09-11 14:01:54,2017-11-04 11:52:11,OH,OH
13,34,2016-05-23 02:36:17,2016-08-05 23:02:49,OH,OH
14,67,2010-05-23 17:29:17,2010-10-06 20:48:07,NV,TX
15,123,2016-11-02 23:06:10,2017-08-20 11:56:09,NC,SC
16,59,2015-03-30 19:51:43,2015-08-03 02:18:47,NC,SC
17,24,2015-10-03 19:03:16,2015-12-02 21:59:07,NC,SC
18,72,2009-12-16 06:13:13,2010-05-17 19:18:53,NV,TX
19,14,2017-07-30 02:23:41,2017-09-06 20:56:21,PA,PA
20,34,2018-06-15 15:18:40,2018-09-15 00:36:12,PA,PA
21,50,2015-11-07 02:40:03,2016-03-25 16:56:23,OH,OH
22,17,2014-07-20 20:14:46,2014-09-10 16:00:50,NC,SC
23,10,2008-09-10 19:33:43,2008-10-02 18:40:27,AZ,AZ
24,16,2017-09-18 12:24:38,2017-10-15 04:21:44,PA,PA
25,22,2016-09-04 18:36:39,2016-11-05 20:36:23,OH,OH
26,12,2017-07-23 19:30:54,2017-08-27 01:27:27,OH,OH
27,17,2010-07-05 21:22:55,2010-08-21 17:59:55,AZ,AZ
28,35,2018-06-20 14:28:52,2018-09-03 19:26:21,OH,OH
29,30,2015-08-14 11:31:41,2015-10-28 21:28:42,OH,OH
30,15,2015-09-19 17:20:25,2015-10-30 14:25:45,PA,PA
31,47,2018-02-17 00:57:53,2018-06-08 09:18:53,OH,OH
32,17,2017-04-01 17:01:35,2017-05-21 15:30:51,PA,PA
33,21,2015-07-19 21:59:51,2015-09-12 21:51:05,PA,PA
34,59,2017-02-04 13:14:09,2017-07-16 11:42:35,OH,OH
35,16,2015-11-28 01:18:59,2016-01-12 01:12:54,PA,PA
36,17,2015-01-15 08:09:08,2015-02-21 14:15:04,PA,PA
37,14,2014-04-27 13:34:45,2014-06-01 01:55:43,OH,OH
38,13,2009-07-22 03:28:17,2009-08-31 03:17:01,NV,NV
39,10,2015-08-09 13:38:34,2015-09-04 17:08:25,NC,SC
40,16,2018-10-08 03:21:53,2018-11-13 20:45:05,OH,OH
41,24,2018-10-04 14:58:36,2018-11-12 17:46:21,NC,NC
42,9,2014-10-27 13:27:27,2014-11-21 13:38:14,OH,OH
43,15,2017-12-08 23:47:19,2018-01-16 05:33:21,OH,OH
44,9,2014-06-16 17:47:48,2014-07-08 17:54:45,NC,NC
45,21,2017-01-17 10:58:18,2017-03-26 14:36:56,PA,PA
46,26,2016-11-22 13:04:11,2017-01-22 21:46:31,OH,OH
47,13,2015-03-07 03:02:01,2015-04-13 01:18:52,PA,PA
48,14,2014-07-15 21:08:38,2014-08-20 17:47:27,OH,OH
49,10,2017-12-09 14:13:21,2017-12-29 00:36:44,PA,PA
50,13,2015-04-08 22:17:45,2015-05-18 04:16:52,OH,OH
51,10,2013-06-15 00:19:52,2013-07-11 16:05:21,OH,OH
52,18,2016-03-09 22:59:08,2016-04-22 20:25:09,PA,PA
53,12,2014-08-25 03:16:12,2014-10-03 04:16:46,OH,OH
54,10,2015-06-12 17:06:34,2015-07-10 00:48:07,PA,PA
55,13,2014-11-24 03:23:51,2014-12-21 21:30:19,NC,SC
56,10,2015-01-28 03:03:56,2015-02-24 16:03:07,OH,OH
57,9,2014-03-10 18:59:43,2014-04-01 18:47:07,OH,OH
58,10,2010-11-03 22:34:59,2010-11-29 21:20:06,AZ,AZ
59,9,2013-12-29 19:37:25,2014-01-22 10:42:07,NC,SC
60,6,2010-06-14 04:22:43,2010-06-27 01:57:08,AZ,AZ
61,15,2017-06-01 00:48:22,2017-07-10 14:16:24,PA,PA
62,12,2016-04-14 15:29:50,2016-05-18 16:50:17,OH,OH
63,13,2016-12-02 20:05:10,2017-01-08 20:52:05,PA,PA
64,10,2013-01-31 16:32:12,2013-02-27 18:12:23,OH,OH
65,10,2014-07-02 16:58:33,2014-07-28 23:13:38,PA,PA
66,6,2015-01-10 00:08:19,2015-01-19 01:49:12,OH,OH
67,9,2016-06-06 02:33:05,2016-06-30 18:30:38,PA,PA
