,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,4178,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,2896,2015-02-07 22:03:58,2018-11-14 13:59:09,AZ,AZ
1,319,2014-01-23 17:20:26,2014-08-31 23:52:33,AZ,AZ
2,3774,2014-11-12 00:56:04,2018-11-14 14:33:12,NV,TX
3,604,2013-11-05 18:21:47,2014-11-11 06:55:46,NV,NV
4,101,2014-12-05 19:04:57,2015-02-05 07:05:08,AZ,AZ
5,33,2013-12-28 15:11:08,2014-01-22 07:09:39,AZ,AZ
6,66,2013-04-17 18:08:36,2013-06-09 16:09:21,NV,NV
7,41,2011-12-21 21:34:29,2012-01-22 04:43:54,NV,NV
8,58,2013-02-27 19:12:53,2013-04-13 04:20:34,NV,TX
9,76,2012-12-19 18:40:43,2013-02-18 21:20:14,NV,NV
10,30,2014-09-01 18:51:42,2014-09-26 07:50:56,AZ,AZ
11,48,2013-06-10 04:41:31,2013-07-15 16:41:58,NV,NV
