,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,7884,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,692,2017-01-28 21:37:23,2017-09-23 02:41:55,NV,NV
1,198,2016-07-07 16:39:00,2016-09-23 03:26:46,NV,NV
2,131,2017-10-01 22:57:02,2017-11-22 00:16:58,NV,NV
3,932,2017-12-04 01:18:26,2018-09-27 02:37:25,NV,NV
4,100,2016-05-29 07:01:20,2016-07-07 05:04:40,NV,NV
5,251,2015-02-16 05:22:32,2015-05-24 20:05:11,NV,NV
6,98,2017-12-14 06:11:06,2018-01-22 23:45:21,AZ,AZ
7,162,2016-12-03 01:56:44,2017-01-28 03:57:05,NV,NV
8,306,2016-01-30 19:51:38,2016-05-27 02:44:22,NV,NV
9,243,2016-02-08 23:47:04,2016-05-14 01:40:27,AZ,AZ
10,338,2018-02-09 19:42:19,2018-06-07 22:43:04,AZ,AZ
11,209,2017-03-21 21:41:07,2017-06-06 05:04:24,AZ,AZ
12,100,2018-06-09 14:02:29,2018-07-18 21:42:00,AZ,AZ
13,106,2015-12-08 19:42:07,2016-01-21 01:17:28,NV,NV
14,91,2015-08-05 04:25:58,2015-09-09 16:35:10,NV,NV
15,46,2016-09-25 13:41:04,2016-10-12 04:38:05,NV,NV
16,91,2015-03-08 19:52:13,2015-04-13 18:54:40,AZ,AZ
17,73,2015-01-01 21:03:28,2015-01-29 06:06:59,NV,NV
18,67,2018-09-27 21:23:53,2018-10-23 03:30:23,NV,NV
19,106,2017-06-11 02:06:51,2017-07-22 17:20:36,AZ,AZ
