,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,2701,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,3737,2012-12-18 16:06:44,2018-11-14 13:59:09,AZ,AZ
1,4765,2012-11-29 07:06:52,2018-11-14 14:33:12,NV,TX
2,163,2011-10-13 04:48:24,2012-05-09 18:57:33,NV,TX
3,73,2011-06-01 01:09:45,2011-09-10 19:26:01,NV,NV
4,135,2012-05-10 06:35:49,2012-10-20 02:48:54,NV,TX
5,40,2012-10-23 23:25:56,2012-12-15 17:29:16,AZ,AZ
6,31,2010-06-16 22:51:45,2010-08-05 00:19:39,NV,NV
7,19,2015-12-20 19:54:07,2016-01-13 18:18:17,NC,NC
8,24,2009-12-28 09:36:33,2010-02-06 01:58:34,NV,NV
9,39,2018-01-02 01:44:54,2018-02-28 01:55:02,NC,SC
10,29,2018-04-26 20:16:14,2018-06-07 02:08:15,NC,SC
11,27,2011-12-29 19:33:58,2012-02-01 03:18:11,AZ,AZ
12,60,2012-02-21 00:51:26,2012-05-08 14:33:52,AZ,AZ
13,34,2018-06-18 23:17:32,2018-08-05 01:01:31,NC,SC
14,24,2011-01-20 21:39:23,2011-02-23 22:01:58,AZ,AZ
15,35,2018-03-03 23:56:37,2018-04-21 22:28:06,NC,SC
16,24,2011-07-07 21:46:57,2011-08-12 13:13:23,AZ,AZ
17,30,2016-02-05 19:43:49,2016-03-23 07:19:06,NC,SC
18,24,2018-10-04 14:58:36,2018-11-12 17:46:21,NC,NC
19,21,2016-06-10 02:13:51,2016-07-10 23:59:00,OH,OH
20,21,2018-06-23 03:36:06,2018-07-21 02:21:57,OH,OH
21,28,2015-05-15 01:08:18,2015-06-30 22:33:49,NC,NC
22,26,2012-06-27 20:11:21,2012-08-08 00:01:48,AZ,AZ
23,23,2017-03-23 04:28:41,2017-04-27 03:39:35,NC,SC
24,18,2010-04-16 19:12:55,2010-05-10 18:19:58,NV,NV
25,19,2012-10-21 19:22:35,2012-11-17 22:53:11,NV,NV
26,18,2017-06-17 14:16:28,2017-07-13 23:48:15,NC,NC
27,18,2017-09-04 15:31:47,2017-09-30 01:18:19,NC,SC
28,18,2018-08-12 16:31:23,2018-09-07 21:29:00,NC,NC
