,cluster,date,date,state,state
,count,min,max,min,max
cluster,,,,,
-1,4172,2005-12-28 20:28:33,2018-11-14 15:28:32,AZ,WI
0,114,2016-04-14 04:21:09,2016-06-01 04:36:01,AZ,AZ
1,31,2014-05-24 15:20:26,2014-06-12 02:20:54,AZ,AZ
2,69,2016-08-28 17:04:02,2016-09-29 01:41:51,AZ,AZ
3,693,2017-02-05 20:20:44,2017-09-30 04:18:14,NV,NV
4,19,2016-01-14 00:49:19,2016-01-24 13:14:13,AZ,AZ
5,53,2016-10-22 04:22:19,2016-11-18 23:55:55,AZ,AZ
6,606,2016-01-30 19:51:38,2016-09-25 19:55:42,NV,NV
7,133,2015-10-01 21:38:01,2015-12-01 00:00:49,NV,NV
8,1065,2017-10-04 05:21:29,2018-09-15 22:21:37,NV,NV
9,161,2016-01-25 21:30:38,2016-03-30 21:35:10,AZ,AZ
10,23,2011-12-31 21:05:32,2012-01-15 21:36:30,NV,NV
11,372,2015-02-05 02:16:43,2015-07-17 18:13:16,NV,TX
12,172,2015-02-24 20:26:04,2015-05-11 07:22:18,AZ,AZ
13,121,2014-12-12 15:01:40,2015-02-04 19:00:49,NV,NV
14,98,2017-12-14 06:11:06,2018-01-22 23:45:21,AZ,AZ
15,61,2014-06-22 21:42:51,2014-07-17 06:25:16,NV,NV
16,68,2015-05-12 16:35:41,2015-06-13 18:24:46,AZ,AZ
17,135,2016-11-27 21:35:19,2017-01-31 21:58:05,AZ,AZ
18,154,2017-07-26 17:19:03,2017-10-07 22:04:01,AZ,AZ
19,24,2017-10-10 12:01:39,2017-10-18 09:34:20,AZ,AZ
20,113,2017-06-08 08:18:43,2017-07-24 02:29:15,AZ,AZ
21,26,2016-06-29 21:35:24,2016-07-14 01:39:23,AZ,AZ
22,18,2015-06-15 20:18:11,2015-06-26 14:33:20,AZ,AZ
23,442,2018-02-05 03:18:52,2018-07-18 21:42:00,AZ,AZ
24,136,2015-08-01 19:18:20,2015-10-02 20:54:23,AZ,AZ
25,43,2015-01-11 05:37:33,2015-02-02 22:27:55,AZ,AZ
26,292,2017-02-11 03:18:29,2017-06-06 05:04:24,AZ,AZ
27,63,2017-11-14 09:06:06,2017-12-11 02:21:13,AZ,AZ
28,239,2016-11-04 19:20:32,2017-02-03 12:48:00,NV,NV
29,35,2013-12-25 07:46:21,2014-01-10 18:38:05,NV,NV
30,15,2013-08-08 04:36:30,2013-08-17 05:54:02,NV,NV
31,24,2014-01-11 21:45:31,2014-01-25 01:36:42,NV,NV
32,12,2014-07-09 09:50:32,2014-07-17 16:16:02,AZ,AZ
33,79,2015-12-02 20:09:02,2016-01-11 03:03:31,AZ,AZ
34,9,2013-05-06 09:49:28,2013-05-11 03:07:16,AZ,AZ
35,19,2013-05-11 18:43:35,2013-05-19 06:51:22,NV,NV
36,23,2016-07-17 05:04:28,2016-07-27 20:00:43,AZ,AZ
37,34,2014-05-08 05:07:32,2014-05-23 13:17:54,AZ,AZ
38,40,2014-10-11 19:45:05,2014-11-01 15:24:12,NV,NV
39,51,2014-04-27 04:34:19,2014-05-23 16:31:22,NV,NV
40,73,2014-07-19 08:07:00,2014-08-20 01:18:35,NV,NV
41,36,2015-06-30 01:35:31,2015-07-19 08:34:36,AZ,AZ
42,13,2014-12-17 17:37:09,2014-12-25 07:54:49,AZ,AZ
43,38,2016-10-15 18:27:12,2016-11-01 14:50:12,NV,NV
44,126,2015-12-01 20:52:31,2016-01-26 23:19:10,NV,NV
45,22,2014-09-23 19:15:00,2014-10-04 21:27:22,NV,NV
46,56,2014-08-21 19:44:34,2014-09-17 00:23:01,NV,NV
47,27,2014-03-08 00:00:39,2014-03-23 20:01:12,NV,NV
48,125,2015-07-19 00:01:17,2015-09-10 20:25:41,NV,NV
49,49,2015-11-04 19:55:06,2015-11-30 02:52:23,AZ,AZ
50,21,2014-06-10 18:04:38,2014-06-19 22:01:51,NV,NV
51,24,2012-12-25 23:49:42,2013-01-10 01:44:06,NV,NV
52,83,2018-07-22 18:47:47,2018-08-28 21:56:24,AZ,AZ
53,43,2014-03-04 13:25:13,2014-03-30 16:16:02,AZ,AZ
54,12,2013-03-04 04:07:40,2013-03-12 04:26:16,NV,TX
55,46,2017-10-23 00:29:42,2017-11-13 05:57:48,AZ,AZ
56,17,2015-10-22 15:11:32,2015-11-02 03:41:25,AZ,AZ
57,31,2014-12-26 04:42:49,2015-01-08 02:46:36,AZ,AZ
58,9,2012-10-19 22:13:56,2012-10-24 14:21:54,NV,TX
59,24,2013-03-21 16:23:24,2013-04-03 06:41:58,NV,NV
60,13,2013-11-04 00:44:16,2013-11-12 03:54:04,NV,NV
61,11,2014-06-03 02:09:01,2014-06-08 14:52:52,NV,NV
62,19,2016-06-02 18:05:53,2016-06-13 04:23:21,AZ,AZ
63,9,2013-01-12 18:42:50,2013-01-16 01:43:56,NV,NV
64,55,2016-07-28 18:43:43,2016-08-23 03:34:41,AZ,AZ
65,48,2016-09-26 18:22:17,2016-10-15 00:40:20,NV,NV
66,23,2013-04-25 14:43:10,2013-05-09 15:20:35,NV,NV
67,36,2014-07-22 00:25:36,2014-08-11 04:26:42,AZ,AZ
68,13,2012-02-16 22:37:51,2012-02-23 04:29:52,NV,NV
69,25,2015-10-04 17:12:00,2015-10-15 20:50:40,AZ,AZ
70,31,2014-04-19 18:34:43,2014-05-06 06:26:03,AZ,AZ
71,23,2014-09-09 15:01:33,2014-09-21 23:50:13,AZ,AZ
72,22,2014-06-19 21:38:10,2014-06-30 22:49:19,AZ,AZ
73,56,2018-10-24 19:39:58,2018-11-14 14:33:12,NV,NV
74,20,2016-10-07 03:47:48,2016-10-19 03:49:23,AZ,AZ
75,79,2018-10-12 05:06:55,2018-11-14 13:59:09,AZ,AZ
76,12,2013-04-06 06:40:10,2013-04-13 05:46:44,AZ,AZ
77,10,2011-12-25 03:57:13,2011-12-31 03:06:50,NV,NV
78,22,2016-06-15 20:47:42,2016-06-28 07:26:26,AZ,AZ
79,69,2018-09-03 07:01:56,2018-10-09 16:11:12,AZ,AZ
80,84,2018-09-19 18:49:05,2018-10-23 03:30:23,NV,NV
81,9,2011-12-29 19:33:58,2012-01-03 08:28:31,AZ,AZ
82,35,2016-03-31 20:39:31,2016-04-11 23:01:39,AZ,AZ
83,29,2013-11-23 01:26:14,2013-12-09 06:18:08,NV,NV
84,17,2014-03-27 00:00:42,2014-04-02 20:19:55,NV,NV
85,17,2018-01-24 23:25:53,2018-02-03 22:06:23,AZ,AZ
86,21,2013-01-28 20:12:22,2013-02-10 05:52:14,NV,NV
87,7,2015-09-27 09:16:38,2015-09-29 09:32:55,NV,NV
88,22,2014-11-07 17:34:10,2014-11-20 00:16:36,NV,NV
89,10,2014-05-27 03:47:14,2014-06-01 07:41:19,NV,NV
90,12,2014-01-02 23:42:55,2014-01-09 22:15:43,AZ,AZ
91,20,2013-06-12 22:36:07,2013-06-23 06:41:00,NV,NV
92,11,2013-06-28 01:45:01,2013-07-05 20:56:30,NV,NV
93,24,2014-02-09 17:12:44,2014-02-23 19:57:04,AZ,AZ
94,27,2014-02-05 01:00:14,2014-02-22 22:07:40,NV,NV
95,10,2014-08-19 06:29:30,2014-08-24 21:48:45,AZ,AZ
96,10,2014-12-05 19:04:57,2014-12-11 02:19:06,AZ,AZ
